"","coc_annual_hpi_change_pct","coc_contributing_counties","coc_group_quarters_per_1000_residents","coc_poverty_all_pct","coc_poverty_child_pct","coc_real_gdp_per_capita_2017_usd","coc_real_median_household_income_2025_usd","coc_real_per_capita_personal_income_2025_usd","coc_unemployment_rate_pct","coc_real_gdp_quantity_index","coc_relative_home_price_index_2000_base","coc_housing_units_per_1000_residents","coc_birth_rate_per_1000","coc_high_school_graduate_pct","coc_housing_cost_burdened_households_pct","coc_death_rate_per_1000","coc_homeownership_rate_pct","coc_domestic_migration_rate_per_1000","coc_population_growth_rate_pct","coc_housing_supply_growth_rate_pct","coc_permits_per_1000_housing_units","coc_permits_value_per_1000_housing_units_2025_usd","state_labor_force_participation_pct","state_real_minimum_wage_2025_usd","state_anticamping_strictness","state_rental_vacancy_rate","state_medicaid_expansion","state_real_median_rent_2025_usd","state_tanf_max_benefit_3person","state_ssi_state_supplement","coc_log_estimated_population","coc_international_migration_rate_per_1000","coc_hic_temporary_beds_per_10k","coc_contains_split_county_flag","coc_multifamily_permit_share_pct","coc_income_inequality_ratio","coc_population_density_per_sq_mile","coc_hic_psh_beds_per_10k"
"coc_housing_cost_burdened_households_pct",-0.223,-0.367,-0.099,0.235,0.152,0.089,0.046,0.026,0.368,-0.481,-0.217,-0.374,0.387,-0.361,1,-0.613,-0.602,-0.524,-0.352,-0.452,-0.565,-0.52,0.595,0.033,0.048,-0.212,0.161,0.186,0.273,0.418,0.147,0.096,0.25,0.192,0.366,0.246,0.199,0.196
"coc_death_rate_per_1000",0.187,0.282,0.013,-0.06,0.092,-0.386,-0.414,-0.232,-0.245,0.279,0.138,0.635,-0.598,0.424,-0.613,1,0.695,0.55,0.234,0.196,0.325,0.302,-0.593,-0.187,0.058,0.358,-0.313,-0.325,-0.372,-0.491,-0.276,-0.161,-0.057,-0.17,-0.411,-0.263,-0.238,-0.222
"coc_homeownership_rate_pct",-0.009,0.207,-0.14,-0.31,-0.133,-0.401,-0.159,-0.116,-0.177,0.192,-0.014,0.579,-0.572,0.56,-0.602,0.695,1,0.642,0.424,0.317,0.42,0.433,-0.524,-0.292,0.145,0.508,-0.425,-0.413,-0.428,-0.521,-0.152,-0.114,-0.307,-0.298,-0.496,-0.451,-0.45,-0.496
"coc_domestic_migration_rate_per_1000",0.216,0.082,-0.122,-0.146,0.013,-0.421,-0.269,-0.245,-0.194,0.091,-0.092,0.36,-0.342,0.353,-0.524,0.55,0.642,1,0.887,0.561,0.636,0.624,-0.534,-0.446,0.373,0.387,-0.454,-0.494,-0.543,-0.564,-0.028,-0.153,-0.317,-0.172,-0.401,-0.36,-0.224,-0.328
"coc_population_growth_rate_pct",0.23,-0.013,-0.187,-0.103,0.022,-0.274,-0.178,-0.173,-0.162,0.09,-0.027,0.145,-0.097,0.199,-0.352,0.234,0.424,0.887,1,0.607,0.634,0.626,-0.491,-0.477,0.426,0.38,-0.471,-0.485,-0.538,-0.538,0.192,0.2,-0.352,-0.139,-0.21,-0.231,-0.135,-0.261
"coc_housing_supply_growth_rate_pct",0.222,0.015,-0.123,-0.261,-0.214,-0.042,0.066,0.049,-0.303,0.462,0.349,0.093,-0.222,0.237,-0.452,0.196,0.317,0.561,0.607,1,0.734,0.678,-0.471,-0.106,0.082,0.153,-0.209,-0.148,-0.254,-0.328,0.142,0.172,-0.223,-0.021,-0.065,-0.073,-0.031,-0.098
"coc_permits_per_1000_housing_units",0.327,0.022,-0.168,-0.301,-0.231,-0.115,0.013,0.008,-0.381,0.466,0.321,0.175,-0.291,0.333,-0.565,0.325,0.42,0.636,0.634,0.734,1,0.932,-0.617,-0.189,0.129,0.217,-0.293,-0.269,-0.388,-0.472,0.126,0.122,-0.254,-0.054,-0.063,-0.118,-0.086,-0.16
"coc_permits_value_per_1000_housing_units_2025_usd",0.308,-0.052,-0.241,-0.385,-0.289,-0.062,0.087,0.117,-0.399,0.422,0.296,0.241,-0.314,0.37,-0.52,0.302,0.433,0.624,0.626,0.678,0.932,1,-0.581,-0.191,0.146,0.214,-0.277,-0.267,-0.381,-0.456,0.095,0.134,-0.234,-0.124,-0.104,-0.098,-0.066,-0.153
"state_labor_force_participation_pct",-0.343,-0.296,0.032,0.132,-0.01,0.19,0.271,0.045,0.44,-0.423,-0.274,-0.496,0.427,-0.404,0.595,-0.593,-0.524,-0.534,-0.491,-0.471,-0.617,-0.581,1,0.434,-0.269,-0.599,0.557,0.628,0.721,0.872,-0.125,-0.285,0.189,-0.028,0.089,0.018,0.143,0.168
"state_real_minimum_wage_2025_usd",0.042,-0.215,-0.029,-0.233,-0.391,0.309,0.439,0.268,-0.169,0.386,0.54,-0.307,-0.043,-0.095,0.033,-0.187,-0.292,-0.446,-0.477,-0.106,-0.189,-0.191,0.434,1,-0.86,-0.654,0.847,0.889,0.897,0.761,-0.117,-0.025,0.177,-0.029,0.077,0.215,0.095,0.242
"state_anticamping_strictness",-0.026,0.144,0.034,0.221,0.336,-0.255,-0.346,-0.235,0.137,-0.349,-0.489,0.176,0.132,0.017,0.048,0.058,0.145,0.373,0.426,0.082,0.129,0.146,-0.269,-0.86,1,0.421,-0.592,-0.659,-0.762,-0.571,0.092,-0.013,-0.205,0.021,-0.065,-0.178,-0.058,-0.203
"state_rental_vacancy_rate",-0.284,0.276,0.015,0.1,0.268,-0.259,-0.397,-0.189,0.021,-0.103,-0.223,0.485,-0.229,0.247,-0.212,0.358,0.508,0.387,0.38,0.153,0.217,0.214,-0.599,-0.654,0.421,1,-0.736,-0.796,-0.752,-0.822,0.106,0.182,-0.105,0.029,-0.134,-0.133,-0.135,-0.206
"state_medicaid_expansion",0.136,-0.247,-0.021,-0.136,-0.288,0.275,0.405,0.209,-0.114,0.143,0.285,-0.384,0.119,-0.197,0.161,-0.313,-0.425,-0.454,-0.471,-0.209,-0.293,-0.277,0.557,0.847,-0.592,-0.736,1,0.802,0.813,0.773,-0.125,-0.145,0.128,-0.03,0.069,0.179,0.113,0.224
"state_real_median_rent_2025_usd",0.005,-0.272,-0.021,-0.171,-0.354,0.31,0.453,0.245,-0.021,0.27,0.43,-0.434,0.115,-0.197,0.186,-0.325,-0.413,-0.494,-0.485,-0.148,-0.269,-0.267,0.628,0.889,-0.659,-0.796,0.802,1,0.904,0.882,-0.121,-0.067,0.167,-0.031,0.11,0.176,0.127,0.24
"state_tanf_max_benefit_3person",-0.068,-0.281,-0.01,-0.103,-0.283,0.308,0.425,0.219,0.079,0.108,0.303,-0.434,0.136,-0.232,0.273,-0.372,-0.428,-0.543,-0.538,-0.254,-0.388,-0.381,0.721,0.897,-0.762,-0.752,0.813,0.904,1,0.949,-0.134,-0.095,0.234,-0.032,0.104,0.171,0.129,0.252
"state_ssi_state_supplement",-0.1,-0.316,0.004,-0.023,-0.209,0.287,0.407,0.174,0.213,-0.063,0.124,-0.517,0.279,-0.323,0.418,-0.491,-0.521,-0.564,-0.538,-0.328,-0.472,-0.456,0.872,0.761,-0.571,-0.822,0.773,0.882,0.949,1,-0.136,-0.18,0.215,-0.033,0.119,0.124,0.15,0.236
"coc_log_estimated_population",0.082,-0.094,-0.215,-0.11,-0.086,0.216,0.224,0.089,-0.148,0.057,0.125,-0.402,0.191,-0.037,0.147,-0.276,-0.152,-0.028,0.192,0.142,0.126,0.095,-0.125,-0.117,0.092,0.106,-0.125,-0.121,-0.134,-0.136,1,0.374,-0.271,0.064,0.405,0.091,0.158,0.114
"coc_international_migration_rate_per_1000",0.118,-0.095,-0.174,-0.172,-0.201,0.381,0.216,0.34,-0.296,0.312,0.462,-0.001,-0.087,0.112,0.096,-0.161,-0.114,-0.153,0.2,0.172,0.122,0.134,-0.285,-0.025,-0.013,0.182,-0.145,-0.067,-0.095,-0.18,0.374,1,0.01,0.018,0.42,0.417,0.212,0.207
"coc_hic_temporary_beds_per_10k",-0.111,-0.06,0.09,0.014,-0.058,0.213,0.059,0.205,0.032,-0.063,0.036,0.187,-0.064,0.052,0.25,-0.057,-0.307,-0.317,-0.352,-0.223,-0.254,-0.234,0.189,0.177,-0.205,-0.105,0.128,0.167,0.234,0.215,-0.271,0.01,1,0.009,0.132,0.291,0.218,0.446
"coc_contains_split_county_flag",-0.041,0.343,0.136,0.198,0.145,0.057,-0.092,-0.059,-0.024,-0.014,0.092,-0.136,0.055,-0.135,0.192,-0.17,-0.298,-0.172,-0.139,-0.021,-0.054,-0.124,-0.028,-0.029,0.021,0.029,-0.03,-0.031,-0.032,-0.033,0.064,0.018,0.009,1,0.344,0.371,0.314,0.171
"coc_multifamily_permit_share_pct",0.043,-0.147,-0.081,-0.162,-0.259,0.599,0.414,0.433,-0.187,0.009,0.233,-0.247,0.031,-0.011,0.366,-0.411,-0.496,-0.401,-0.21,-0.065,-0.063,-0.104,0.089,0.077,-0.065,-0.134,0.069,0.11,0.104,0.119,0.405,0.42,0.132,0.344,1,0.588,0.583,0.462
"coc_income_inequality_ratio",0.052,-0.02,0.088,-0.034,-0.213,0.569,0.338,0.564,-0.251,0.124,0.323,-0.046,-0.15,0.068,0.246,-0.263,-0.451,-0.36,-0.231,-0.073,-0.118,-0.098,0.018,0.215,-0.178,-0.133,0.179,0.176,0.171,0.124,0.091,0.417,0.291,0.371,0.588,1,0.574,0.635
"coc_population_density_per_sq_mile",-0.007,-0.165,-0.112,-0.11,-0.145,0.616,0.315,0.388,-0.106,-0.012,0.162,-0.1,-0.036,-0.049,0.199,-0.238,-0.45,-0.224,-0.135,-0.031,-0.086,-0.066,0.143,0.095,-0.058,-0.135,0.113,0.127,0.129,0.15,0.158,0.212,0.218,0.314,0.583,0.574,1,0.722
"coc_hic_psh_beds_per_10k",-0.004,-0.156,0.017,-0.092,-0.191,0.596,0.349,0.442,-0.196,0.041,0.199,-0.061,-0.059,0.037,0.196,-0.222,-0.496,-0.328,-0.261,-0.098,-0.16,-0.153,0.168,0.242,-0.203,-0.206,0.224,0.24,0.252,0.236,0.114,0.207,0.446,0.171,0.462,0.635,0.722,1
