"term","domain","variation_level","n_folds","n_selected","selection_freq","mean_coef_all_folds","mean_coef_when_selected","sd_coef_across_folds","sign_consistency","direction","coefficient_scale","in_highly_correlated_pair","correlated_partners","attribution_identified"
"coc_poverty_all_pct","Economic","CoC-year",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"coc_poverty_child_pct",TRUE
"coc_real_gdp_per_capita_2017_usd","Economic","CoC-year",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"coc_real_per_capita_personal_income_2025_usd",TRUE
"coc_real_median_household_income_2025_usd","Economic","CoC-year",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"coc_poverty_child_pct; coc_real_per_capita_personal_income_2025_usd",TRUE
"coc_relative_home_price_index_2000_base","Housing market","CoC-year",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"coc_real_gdp_quantity_index",TRUE
"state_anticamping_strictness","Policy","State-year (one value repeated across all CoCs in the state)",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"state_real_minimum_wage_2025_usd",TRUE
"state_labor_force_participation_pct","Economic","State-year (one value repeated across all CoCs in the state)",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"state_ssi_state_supplement",TRUE
"state_medicaid_expansion","Policy","State-year (one value repeated across all CoCs in the state)",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"state_real_median_rent_2025_usd; state_real_minimum_wage_2025_usd; state_tanf_max_benefit_3person",TRUE
"state_real_median_rent_2025_usd","Housing market","State-year (one value repeated across all CoCs in the state)",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"state_medicaid_expansion; state_real_minimum_wage_2025_usd; state_ssi_state_supplement; state_tanf_max_benefit_3person",TRUE
"state_real_minimum_wage_2025_usd","Economic","State-year (one value repeated across all CoCs in the state)",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"state_anticamping_strictness; state_medicaid_expansion; state_real_median_rent_2025_usd; state_tanf_max_benefit_3person",TRUE
"state_rental_vacancy_rate","Housing market","State-year (one value repeated across all CoCs in the state)",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"state_ssi_state_supplement",TRUE
"state_ssi_state_supplement","Policy","State-year (one value repeated across all CoCs in the state)",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"state_labor_force_participation_pct; state_real_median_rent_2025_usd; state_rental_vacancy_rate; state_tanf_max_benefit_3person",TRUE
"state_tanf_max_benefit_3person","Policy","State-year (one value repeated across all CoCs in the state)",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"state_medicaid_expansion; state_real_median_rent_2025_usd; state_real_minimum_wage_2025_usd; state_ssi_state_supplement",TRUE
