"sample_id","sample_label","selection_rule","sample_rows","sample_cocs","sample_predictors","model","lambda_rule","scored_rows","rmse","mae","r2","mean_nonzero_penalized_per_fold","comparison_basis"
"S2_stable_cocs","Stable CoCs only","Keep CoCs with a modeling row in all 13 usable v2 target years (2012;2013;2014;2015;2016;2017;2018;2019;2020;2022;2023;2024;2025).",845,65,38,"pooled_lasso_state_interactions","1se",520,13.9716,9.0666,0.6395,15.375,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S2_stable_cocs","Stable CoCs only","Keep CoCs with a modeling row in all 13 usable v2 target years (2012;2013;2014;2015;2016;2017;2018;2019;2020;2022;2023;2024;2025).",845,65,38,"pooled_lasso_state_interactions","min",520,13.3223,9.5071,0.6723,22.375,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S3_no_structural_beds","Service-capacity predictors removed","All primary rows; drop coc_hic_psh_beds_per_10k and coc_hic_temporary_beds_per_10k.",887,70,36,"pooled_lasso","1se",555,19.2035,12.3766,0.3789,7.875,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S3_no_structural_beds","Service-capacity predictors removed","All primary rows; drop coc_hic_psh_beds_per_10k and coc_hic_temporary_beds_per_10k.",887,70,36,"pooled_lasso","min",555,18.2932,12.6049,0.4364,16.625,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S3_no_structural_beds","Service-capacity predictors removed","All primary rows; drop coc_hic_psh_beds_per_10k and coc_hic_temporary_beds_per_10k.",887,70,36,"pooled_lasso_state_interactions","1se",555,17.8126,12.5592,0.4656,24,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S3_no_structural_beds","Service-capacity predictors removed","All primary rows; drop coc_hic_psh_beds_per_10k and coc_hic_temporary_beds_per_10k.",887,70,36,"pooled_lasso_state_interactions","min",555,17.8224,12.9356,0.465,31.75,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S4_persistence","Persistence benchmark (reliable prior PIT)","Keep rows whose predictor_year PIT rate is present, has an FY2024 denominator, and carries pit_count_caution_flag == 0. Prior rate is the CoC's own predictor_year (t) PIT rate; the target is year t+1.",817,70,39,"pooled_lasso","1se",485,16.1317,10.0113,0.5597,3,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S4_persistence","Persistence benchmark (reliable prior PIT)","Keep rows whose predictor_year PIT rate is present, has an FY2024 denominator, and carries pit_count_caution_flag == 0. Prior rate is the CoC's own predictor_year (t) PIT rate; the target is year t+1.",817,70,39,"pooled_lasso","min",485,15.6576,10.4792,0.5852,13.8571428571429,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S4_persistence","Persistence benchmark (reliable prior PIT)","Keep rows whose predictor_year PIT rate is present, has an FY2024 denominator, and carries pit_count_caution_flag == 0. Prior rate is the CoC's own predictor_year (t) PIT rate; the target is year t+1.",817,70,39,"pooled_lasso_state_interactions","1se",485,15.5557,10.3423,0.5906,13,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S4_persistence","Persistence benchmark (reliable prior PIT)","Keep rows whose predictor_year PIT rate is present, has an FY2024 denominator, and carries pit_count_caution_flag == 0. Prior rate is the CoC's own predictor_year (t) PIT rate; the target is year t+1.",817,70,39,"pooled_lasso_state_interactions","min",485,15.1284,10.5465,0.6128,21.8571428571429,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S4b_persistence_full_enum","Persistence benchmark (full-enumeration prior PIT)","S4 eligibility plus: prior count_type must be a full sheltered-and-unsheltered enumeration (excludes sheltered-only and partial-unsheltered prior counts).",666,70,39,"pooled_lasso","1se",408,16.0042,9.6152,0.5485,3.71428571428571,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S4b_persistence_full_enum","Persistence benchmark (full-enumeration prior PIT)","S4 eligibility plus: prior count_type must be a full sheltered-and-unsheltered enumeration (excludes sheltered-only and partial-unsheltered prior counts).",666,70,39,"pooled_lasso","min",408,15.3451,9.9127,0.5849,11.4285714285714,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S4b_persistence_full_enum","Persistence benchmark (full-enumeration prior PIT)","S4 eligibility plus: prior count_type must be a full sheltered-and-unsheltered enumeration (excludes sheltered-only and partial-unsheltered prior counts).",666,70,39,"pooled_lasso_state_interactions","1se",408,15.3792,9.9818,0.5831,13.1428571428571,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S4b_persistence_full_enum","Persistence benchmark (full-enumeration prior PIT)","S4 eligibility plus: prior count_type must be a full sheltered-and-unsheltered enumeration (excludes sheltered-only and partial-unsheltered prior counts).",666,70,39,"pooled_lasso_state_interactions","min",408,15.4532,10.7317,0.5791,25,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S5_no_hpi_fl518","No FHFA home-price index; FL-518 restored","v2 pipeline rebuilt from the same audited inputs with coc_relative_home_price_index_2000_base dropped from the predictor set and from the complete-case requirement. No imputation; no v1 column used.",898,71,37,"pooled_lasso","1se",561,15.7498,9.9033,0.5777,4.625,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S5_no_hpi_fl518","No FHFA home-price index; FL-518 restored","v2 pipeline rebuilt from the same audited inputs with coc_relative_home_price_index_2000_base dropped from the predictor set and from the complete-case requirement. No imputation; no v1 column used.",898,71,37,"pooled_lasso","min",561,15.3568,10.3121,0.5985,15.25,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S5_no_hpi_fl518","No FHFA home-price index; FL-518 restored","v2 pipeline rebuilt from the same audited inputs with coc_relative_home_price_index_2000_base dropped from the predictor set and from the complete-case requirement. No imputation; no v1 column used.",898,71,37,"pooled_lasso_state_interactions","1se",561,15.1097,10.0567,0.6113,15.75,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S5_no_hpi_fl518","No FHFA home-price index; FL-518 restored","v2 pipeline rebuilt from the same audited inputs with coc_relative_home_price_index_2000_base dropped from the predictor set and from the complete-case requirement. No imputation; no v1 column used.",898,71,37,"pooled_lasso_state_interactions","min",561,14.831,10.5383,0.6255,23.625,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
