"predictor","domain","variation_level","main_headline_selfreq","main_headline_mean_coef","main_headline_sign_consistency","headline_fl_interaction_selfreq","main_pooled_selfreq","main_pooled_mean_coef","main_pooled_sign_consistency","direction_main","sens_S1_split_county","sens_S1_sign","available_S1","sens_S2_stable_cocs","sens_S2_sign","available_S2","sens_S3_structural_only","sens_S3_sign","available_S3","sens_S4_persistence_adjusted","sens_S4_sign","available_S4","sens_S4b_persistence_strict","sens_S4b_sign","available_S4b","sens_S5_no_hpi","sens_S5_sign","available_S5","n_sens_available","n_sens_selected_half","sign_agreement_across_samples","stable_across_all_samples","in_highly_correlated_pair","correlated_partners","attribution_identified","robustness_class","selfreq_when_prior_year_rate_is_available","prior_rate_note"
"coc_housing_units_per_1000_residents","Housing stock/supply","CoC-year",0.625,1.17263,1,0,0.625,0.63781,1,"positive",0.125,"negative",TRUE,0,,TRUE,1,"positive",TRUE,0.571428571428571,"positive",TRUE,0.714285714285714,"positive",TRUE,0,,TRUE,6,3,0.8,FALSE,FALSE,,TRUE,"C. Selected in the main model but not carried by the sensitivity samples",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_income_inequality_ratio","Economic","CoC-year",0.625,-0.89767,1,1,0.625,-0.99196,1,"negative",0.375,"negative",TRUE,0,,TRUE,0.75,"positive",TRUE,0.714285714285714,"negative",TRUE,0.428571428571429,"negative",TRUE,1,"negative",TRUE,6,3,0.833333333333333,FALSE,FALSE,,TRUE,"C. Selected in the main model but not carried by the sensitivity samples",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_real_gdp_quantity_index","Economic","CoC-year",1,1.34188,1,1,0.5,0.80681,1,"positive",0.5,"positive",TRUE,0.375,"positive",TRUE,0.75,"positive",TRUE,0.571428571428571,"positive",TRUE,0.571428571428571,"positive",TRUE,0.625,"positive",TRUE,6,5,1,FALSE,TRUE,"coc_relative_home_price_index_2000_base",FALSE,"B. Frequently selected in the main model; falls below 50% in one or two samples",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"state_anticamping_strictness","Policy","State-year (repeated across CoCs)",0,0,,0,0.5,-0.1296,1,"negative",0.5,"negative",TRUE,0.5,"negative",TRUE,0.5,"negative",TRUE,0.428571428571429,"negative",TRUE,0.428571428571429,"negative",TRUE,0.5,"negative",TRUE,6,4,1,FALSE,TRUE,"state_real_minimum_wage_2025_usd",FALSE,"B. Frequently selected in the main model; falls below 50% in one or two samples",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"state_rental_vacancy_rate","Housing market","State-year (repeated across CoCs)",0,0,,0.25,0.5,0.20002,1,"positive",0.125,"positive",TRUE,0.75,"positive",TRUE,0.5,"positive",TRUE,0.428571428571429,"positive",TRUE,0.285714285714286,"positive",TRUE,0.5,"positive",TRUE,6,3,1,FALSE,TRUE,"state_ssi_state_supplement",FALSE,"C. Selected in the main model but not carried by the sensitivity samples",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"state_real_minimum_wage_2025_usd","Economic","State-year (repeated across CoCs)",0,0,,0,0.375,0.21563,1,"positive",0.125,"positive",TRUE,0.625,"positive",TRUE,0.25,"positive",TRUE,0.285714285714286,"positive",TRUE,0,,TRUE,0.5,"positive",TRUE,6,2,1,FALSE,TRUE,"state_anticamping_strictness; state_medicaid_expansion; state_real_median_rent_2025_usd; state_tanf_max_benefit_3person",TRUE,"D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_permits_value_per_1000_housing_units_2025_usd","Housing stock/supply","CoC-year",0.25,-0.05914,1,0.5,0.375,0.16886,0.666666666666667,"positive",0.125,"negative",TRUE,0,,TRUE,0,,TRUE,0.428571428571429,"positive",TRUE,0.285714285714286,"positive",TRUE,0.25,"positive",TRUE,6,0,0.8,FALSE,TRUE,"coc_permits_per_1000_housing_units",TRUE,"E. Occasionally selected but never in half the folds of any sample",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_unemployment_rate_pct","Economic","CoC-year",0.25,-0.52868,1,0,0.25,-0.4603,1,"negative",0.5,"negative",TRUE,0.25,"negative",TRUE,0.5,"negative",TRUE,0.285714285714286,"negative",TRUE,0.285714285714286,"negative",TRUE,0.375,"negative",TRUE,6,2,1,FALSE,FALSE,,TRUE,"D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_death_rate_per_1000","Demographic","CoC-year",0,0,,0,0.25,0.09286,1,"positive",0,,TRUE,0,,TRUE,0.375,"positive",TRUE,0.285714285714286,"positive",TRUE,0.285714285714286,"positive",TRUE,0.25,"positive",TRUE,6,0,1,FALSE,FALSE,,TRUE,"E. Occasionally selected but never in half the folds of any sample",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_group_quarters_per_1000_residents","Housing stock/supply","CoC-year",0.625,0.24864,1,0.875,0.125,0.01377,1,"positive",0.5,"positive",TRUE,1,"positive",TRUE,0.25,"positive",TRUE,0.142857142857143,"positive",TRUE,0,,TRUE,1,"positive",TRUE,6,3,1,FALSE,FALSE,,TRUE,"D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_contains_split_county_flag","Scale/geography","CoC-year",0,0,,1,0.125,-0.01564,1,"negative",,,FALSE,0,,TRUE,1,"negative",TRUE,0,,TRUE,0,,TRUE,0.25,"positive",TRUE,5,1,0.666666666666667,FALSE,FALSE,,TRUE,"D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_housing_supply_growth_rate_pct","Housing stock/supply","CoC-year",0,0,,0.125,0.125,0.04336,1,"positive",0.125,"positive",TRUE,0,,TRUE,0.125,"positive",TRUE,0.142857142857143,"positive",TRUE,0,,TRUE,0,,TRUE,6,0,1,FALSE,FALSE,,TRUE,"E. Occasionally selected but never in half the folds of any sample",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_poverty_all_pct","Economic","CoC-year",0,0,,0,0.125,-0.0305,1,"negative",0,,TRUE,0,,TRUE,0,,TRUE,0.142857142857143,"negative",TRUE,0,,TRUE,0,,TRUE,6,0,1,FALSE,TRUE,"coc_poverty_child_pct",TRUE,"E. Occasionally selected but never in half the folds of any sample",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_real_gdp_per_capita_2017_usd","Economic","CoC-year",0,0,,0,0.125,-0.01011,1,"negative",0,,TRUE,0,,TRUE,0.25,"positive",TRUE,0.142857142857143,"negative",TRUE,0.285714285714286,"negative",TRUE,0.25,"negative",TRUE,6,0,0.8,FALSE,TRUE,"coc_real_per_capita_personal_income_2025_usd",TRUE,"E. Occasionally selected but never in half the folds of any sample",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_real_median_household_income_2025_usd","Economic","CoC-year",0,0,,0,0.125,-0.0195,1,"negative",0,,TRUE,0,,TRUE,0,,TRUE,0.142857142857143,"negative",TRUE,0.285714285714286,"negative",TRUE,0.125,"negative",TRUE,6,0,1,FALSE,TRUE,"coc_poverty_child_pct; coc_real_per_capita_personal_income_2025_usd",TRUE,"E. Occasionally selected but never in half the folds of any sample",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_relative_home_price_index_2000_base","Housing market","CoC-year",0,0,,0,0.125,0.02581,1,"positive",0,,TRUE,0.25,"positive",TRUE,0,,TRUE,0.142857142857143,"positive",TRUE,0,,TRUE,,,FALSE,5,0,1,FALSE,TRUE,"coc_real_gdp_quantity_index",TRUE,"E. Occasionally selected but never in half the folds of any sample",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_high_school_graduate_pct","Demographic","CoC-year",0,0,,0.375,0,0,,,0.25,"positive",TRUE,0,,TRUE,0.875,"positive",TRUE,0,,TRUE,0.142857142857143,"positive",TRUE,0.125,"negative",TRUE,6,1,0.75,FALSE,FALSE,,TRUE,"D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_homeownership_rate_pct","Housing market","CoC-year",0.125,-0.05058,1,1,0,0,,,0.125,"negative",TRUE,0,,TRUE,1,"negative",TRUE,0,,TRUE,0,,TRUE,0,,TRUE,6,1,1,FALSE,FALSE,,TRUE,"D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_poverty_child_pct","Economic","CoC-year",0.25,-0.09163,1,0,0,0,,,0.125,"negative",TRUE,0.5,"negative",TRUE,0.375,"negative",TRUE,0,,TRUE,0,,TRUE,0,,TRUE,6,1,1,FALSE,TRUE,"coc_poverty_all_pct; coc_real_median_household_income_2025_usd",TRUE,"D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_real_per_capita_personal_income_2025_usd","Economic","CoC-year",0.25,-0.02279,1,0,0,0,,,0,,TRUE,0,,TRUE,0.5,"positive",TRUE,0,,TRUE,0,,TRUE,0,,TRUE,6,1,1,FALSE,TRUE,"coc_real_gdp_per_capita_2017_usd; coc_real_median_household_income_2025_usd",TRUE,"D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_domestic_migration_rate_per_1000","Demographic","CoC-year",0,0,,0,0,0,,,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,6,0,,FALSE,TRUE,"coc_population_growth_rate_pct",TRUE,"F. Never selected in any sample",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_multifamily_permit_share_pct","Housing stock/supply","CoC-year",0,0,,0.5,0,0,,,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,6,0,,FALSE,FALSE,,TRUE,"F. Never selected in any sample",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_permits_per_1000_housing_units","Housing stock/supply","CoC-year",0,0,,0,0,0,,,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,6,0,,FALSE,TRUE,"coc_permits_value_per_1000_housing_units_2025_usd",TRUE,"F. Never selected in any sample",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"state_labor_force_participation_pct","Economic","State-year (repeated across CoCs)",0,0,,0,0,0,,,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,6,0,,FALSE,TRUE,"state_ssi_state_supplement",TRUE,"F. Never selected in any sample",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"state_medicaid_expansion","Policy","State-year (repeated across CoCs)",0,0,,0,0,0,,,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,6,0,,FALSE,TRUE,"state_real_median_rent_2025_usd; state_real_minimum_wage_2025_usd; state_tanf_max_benefit_3person",TRUE,"F. Never selected in any sample",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"state_real_median_rent_2025_usd","Housing market","State-year (repeated across CoCs)",0,0,,0,0,0,,,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,6,0,,FALSE,TRUE,"state_medicaid_expansion; state_real_minimum_wage_2025_usd; state_ssi_state_supplement; state_tanf_max_benefit_3person",TRUE,"F. Never selected in any sample",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"state_ssi_state_supplement","Policy","State-year (repeated across CoCs)",0,0,,0,0,0,,,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,6,0,,FALSE,TRUE,"state_labor_force_participation_pct; state_real_median_rent_2025_usd; state_rental_vacancy_rate; state_tanf_max_benefit_3person",TRUE,"F. Never selected in any sample",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"state_tanf_max_benefit_3person","Policy","State-year (repeated across CoCs)",0,0,,0,0,0,,,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,0,,TRUE,6,0,,FALSE,TRUE,"state_medicaid_expansion; state_real_median_rent_2025_usd; state_real_minimum_wage_2025_usd; state_ssi_state_supplement",TRUE,"F. Never selected in any sample",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
