variable,category,definition,unit,source,candidate_role,transformation_status,cleaning_status
permits_total_units_per_1000_population,Housing supply,"Authorized housing units per 1,000 residents","housing units per 1,000 people",Derived from Census/HUD BPS and Census PEP,candidate covariate,Mechanical derivation; component fields retained,Uncleaned; missing values retained
permits_total_value_authorized,Housing supply,Mechanical sum of published construction-value categories,nominal dollars,Census/HUD BPS,candidate covariate,Mechanical row sum; components retained,Uncleaned; missing values retained
permits_total_reported_units,Housing supply,Mechanical sum of published units represented by reporting places,housing units,Census/HUD BPS,coverage/quality,Mechanical row sum; components retained,Uncleaned; missing values retained
poverty_all_estimate,Income and poverty,"Estimated people in poverty, all ages",people,Census SAIPE,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
poverty_all_ci_low,Income and poverty,Lower 90% confidence bound for all-age poverty estimate,people,Census SAIPE,uncertainty,Published value; reshaped only,Uncleaned; missing values retained
poverty_all_ci_high,Income and poverty,Upper 90% confidence bound for all-age poverty estimate,people,Census SAIPE,uncertainty,Published value; reshaped only,Uncleaned; missing values retained
poverty_all_pct,Income and poverty,Estimated all-age poverty percent,percent,Census SAIPE,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
poverty_all_pct_ci_low,Income and poverty,Lower 90% confidence bound for poverty percent,percent,Census SAIPE,uncertainty,Published value; reshaped only,Uncleaned; missing values retained
poverty_all_pct_ci_high,Income and poverty,Upper 90% confidence bound for poverty percent,percent,Census SAIPE,uncertainty,Published value; reshaped only,Uncleaned; missing values retained
poverty_child_estimate,Income and poverty,Estimated children under 18 in poverty,people,Census SAIPE,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
poverty_child_ci_low,Income and poverty,Lower 90% confidence bound for child poverty estimate,people,Census SAIPE,uncertainty,Published value; reshaped only,Uncleaned; missing values retained
poverty_child_ci_high,Income and poverty,Upper 90% confidence bound for child poverty estimate,people,Census SAIPE,uncertainty,Published value; reshaped only,Uncleaned; missing values retained
poverty_child_pct,Income and poverty,Estimated child poverty percent,percent,Census SAIPE,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
poverty_child_pct_ci_low,Income and poverty,Lower 90% confidence bound for child poverty percent,percent,Census SAIPE,uncertainty,Published value; reshaped only,Uncleaned; missing values retained
poverty_child_pct_ci_high,Income and poverty,Upper 90% confidence bound for child poverty percent,percent,Census SAIPE,uncertainty,Published value; reshaped only,Uncleaned; missing values retained
poverty_age_5_17_estimate,Income and poverty,Estimated related children age 5-17 in families in poverty,people,Census SAIPE,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
poverty_age_5_17_pct,Income and poverty,Estimated poverty percent for related children age 5-17 in families,percent,Census SAIPE,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
median_household_income,Income and poverty,Estimated median household income,nominal dollars,Census SAIPE,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
median_household_income_ci_low,Income and poverty,Lower 90% confidence bound for median household income,nominal dollars,Census SAIPE,uncertainty,Published value; reshaped only,Uncleaned; missing values retained
median_household_income_ci_high,Income and poverty,Upper 90% confidence bound for median household income,nominal dollars,Census SAIPE,uncertainty,Published value; reshaped only,Uncleaned; missing values retained
unemployment_rate_pct,Labor market,Annual county unemployment rate,percent,BLS LAUS,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
unemployed_people,Labor market,Annual unemployed persons estimate,people,BLS LAUS,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
employed_people,Labor market,Annual employed persons estimate,people,BLS LAUS,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
civilian_labor_force,Labor market,Annual civilian labor force estimate,people,BLS LAUS,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
bea_personal_income_thousands_usd,Economic output and income,Personal income,thousands of nominal dollars,BEA CAINC1,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
bea_population,Economic output and income,Population used by BEA,people,BEA CAINC1,scale/control,Published value; reshaped only,Uncleaned; missing values retained
bea_per_capita_personal_income_usd,Economic output and income,Per capita personal income,nominal dollars,BEA CAINC1,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
bea_real_gdp_thousands_2017_usd,Economic output and income,Real county GDP,thousands of chained 2017 dollars,BEA CAGDP1,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
bea_real_gdp_quantity_index,Economic output and income,Real GDP chain-type quantity index,index,BEA CAGDP1,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
bea_current_gdp_thousands_usd,Economic output and income,Current-dollar county GDP,thousands of nominal dollars,BEA CAGDP1,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
annual_hpi_change_pct,Housing market,Annual change in developmental county all-transactions HPI,percent,FHFA HPI,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
hpi,Housing market,Developmental county all-transactions HPI,index,FHFA HPI,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
hpi_1990_base,Housing market,HPI rebased to 1990,"index, 1990=100",FHFA HPI,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
hpi_2000_base,Housing market,HPI rebased to 2000,"index, 2000=100",FHFA HPI,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
median_home_sale_price_annual_avg_usd,Housing market,Arithmetic mean of Zillow monthly county median sale prices for all homes,nominal dollars,Zillow Research,candidate covariate,Arithmetic mean of available monthly values; month count retained,Uncleaned; missing values retained
median_home_sale_price_months_observed,Housing market,Months contributing to the annual average of monthly median sale price,months,Zillow Research,coverage/quality,Published value; reshaped only,Uncleaned; missing values retained
zori_annual_avg_usd,Housing market,"Arithmetic mean of monthly Zillow Observed Rent Index values; this is a typical market rent index, not ACS median gross rent",nominal dollars,Zillow Research,candidate covariate,Arithmetic mean of available monthly values; month count retained,Uncleaned; missing values retained
zori_months_observed,Housing market,Months contributing to the annual average Zillow Observed Rent Index,months,Zillow Research,coverage/quality,Published value; reshaped only,Uncleaned; missing values retained
homeownership_rate_pct,Housing market,ACS 5-year homeownership rate distributed through FRED,percent,Census ACS via FRED,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
housing_cost_burdened_households_pct,Housing affordability,Households spending at least 30 percent of income on selected owner costs or gross rent; not a renter-only burden measure,percent,Census ACS via FRED,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
foreclosure_rate_per_100_mortgages,Housing market,Reserved foreclosure-rate field; blank because no free comparable county-year series for 2010-2025 was verified,per 100 mortgages,Not populated,requested gap,Reserved blank field; no verified series,Uncleaned; missing values retained
eviction_renting_households,Eviction,Estimated renter-occupied households used as the Eviction Lab denominator,renter households,Eviction Lab,scale/control,Published value; reshaped only,Uncleaned; missing values retained
eviction_filings_estimate,Eviction,Modeled annual eviction filing estimate,filings,Eviction Lab,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
eviction_filings_ci_95_low,Eviction,Lower 95 percent uncertainty bound for modeled eviction filings,filings,Eviction Lab,uncertainty,Published value; reshaped only,Uncleaned; missing values retained
eviction_filings_ci_95_high,Eviction,Upper 95 percent uncertainty bound for modeled eviction filings,filings,Eviction Lab,uncertainty,Published value; reshaped only,Uncleaned; missing values retained
eviction_filings_court_issued_flag,Eviction,Indicator supplied by Eviction Lab for a court-issued filings observation,0/1 flag,Eviction Lab,coverage/quality,Published value; reshaped only,Uncleaned; missing values retained
eviction_filings_left_truncated_flag,Eviction,Indicator supplied by Eviction Lab for left-truncated court-issued filings,0/1 flag,Eviction Lab,coverage/quality,Published value; reshaped only,Uncleaned; missing values retained
eviction_filing_rate_per_100_renter_households,Eviction,Modeled eviction filings divided by renter-occupied households and multiplied by 100,filings per 100 renter households,Derived from Eviction Lab,candidate covariate,Mechanical derivation; component fields retained,Uncleaned; missing values retained
eviction_households_threatened_estimate,Eviction,Modeled renter households threatened with eviction,renter households,Eviction Lab,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
eviction_households_threatened_ci_95_low,Eviction,Lower 95 percent uncertainty bound for households threatened,renter households,Eviction Lab,uncertainty,Published value; reshaped only,Uncleaned; missing values retained
eviction_households_threatened_ci_95_high,Eviction,Upper 95 percent uncertainty bound for households threatened,renter households,Eviction Lab,uncertainty,Published value; reshaped only,Uncleaned; missing values retained
eviction_households_threatened_observed_flag,Eviction,Indicator supplied by Eviction Lab for observed households threatened,0/1 flag,Eviction Lab,coverage/quality,Published value; reshaped only,Uncleaned; missing values retained
eviction_households_threatened_rate_per_100_renter_households,Eviction,Modeled households threatened divided by renter-occupied households and multiplied by 100,households per 100 renter households,Derived from Eviction Lab,candidate covariate,Mechanical derivation; component fields retained,Uncleaned; missing values retained
income_inequality_top_bottom_quintile_ratio,Income and poverty,Mean income of the highest household-income quintile divided by mean income of the lowest quintile; not a Gini coefficient,ratio,Census ACS via FRED,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
high_school_graduate_or_higher_pct_age_18plus,Education,"Population age 18 and older with a high-school diploma or higher; this is attainment, not a cohort graduation rate",percent,Census ACS via FRED,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
state_minimum_wage_usd_per_hour,Policy and safety net,Published state minimum wage assigned to every county in that state-year,nominal dollars per hour,U.S. Department of Labor via FRED,state-level covariate,Published value; reshaped only,Uncleaned; missing values retained
medicaid_expansion_status,Policy and safety net,ACA Medicaid expansion implemented in the state by that year,0/1 flag,CMS/KFF documented coding,state-level covariate,Deterministic state-year coding from documented implementation status,Uncleaned; missing values retained
